crop_type,state,month,rainfall,temperature,predicted_price,previous_month_price,price_change,price_change_percent,crop_prev_month_mean,crop_month_diff,crop_month_diff_percent,market_trend
Rice,Maharashtra,10,120,28,2552.59,2271.4,281.19,12.38,2319.68,-48.53,-2.09,Prices typically lower during harvest season | Peak harvest season - expect competitive pricing
Wheat,Uttar Pradesh,3,40,22,2747.18,3005.2,-258.02,-8.59,3055.82,-143.3,-4.69,Stable market conditions expected
Maize,Karnataka,11,180,26,1752.37,1626.03,126.34,7.77,1659.82,-96.95,-5.84,Prices typically lower during harvest season
Cotton,Gujarat,12,30,24,4516.06,3695.82,820.24,22.19,3915.22,348.35,8.9,Prices typically lower during harvest season | Cotton harvest season - market prices stabilizing
Sugarcane,Andhra Pradesh,5,250,30,3123.08,3342.89,-219.81,-6.58,3300.2,393.0,11.91,Stable market conditions expected
Pulses,Rajasthan,7,320,29,3168.26,3169.12,-0.86,-0.03,3554.27,16.13,0.45,High supply expected due to good rainfall
Vegetables,Kerala,8,400,27,1801.89,2593.53,-791.64,-30.52,2384.3,-73.06,-3.06,High supply expected due to good rainfall
Fruits,Tamil Nadu,2,50,22,3693.72,4122.41,-428.69,-10.4,3933.97,54.86,1.39,Stable market conditions expected
Rice,Bihar,10,105,27,2531.68,2230.43,301.25,13.51,2319.68,-48.53,-2.09,Prices typically lower during harvest season | Peak harvest season - expect competitive pricing
Wheat,Punjab,4,20,25,2838.06,3065.36,-227.3,-7.42,2912.52,-163.76,-5.62,Stable market conditions expected
Maize,Madhya Pradesh,9,150,26,1768.9,1518.5,250.4,16.49,1656.27,-11.17,-0.67,Prices may rise due to water scarcity
Vegetables,West Bengal,6,210,29,2032.66,2726.58,-693.92,-25.45,2615.78,-183.1,-7.0,High supply expected due to good rainfall
